#measurement startet at: 06_09_19__15:42 Integration Time in ps: 900000000000000 Coincidence Window im ps: 4000
	H1H2H3H4         	H1H2H3V4         	H1H2V3H4         	H1H2V3V4         	H1V2H3H4         	H1V2H3V4         	H1V2V3H4         	H1V2V3V4         	V1H2H3H4         	V1H2H3V4         	V1H2V3H4         	V1H2V3V4         	V1V2H3H4         	V1V2H3V4         	V1V2V3H4         	V1V2V3V4         	H1               	V1               	H2               	V2               	H3               	V3               	H4               	V4               	H1H2             	H1V2             	V1H2             	V1V2             	H1H3             	H1V3             	V1H3             	V1V3             	H1H4             	H1V4             	V1H4             	V1V4             	H2H3             	H2V3             	V2H3             	V2V3             	H2H4             	H2V4             	V2H4             	V2V4             	H3H4             	H3V4             	V3H4             	V3V4             	H1V1H2V2H3V3     	H1V1H2V2H3H4     	H1V1H2V2H3V4     	H1V1H2V2V3H4     	H1V1H2V2V3V4     	H1V1H2V2H4V4     	H1V1H2H3V3H4     	H1V1H2H3V3V4     	H1V1H2H3H4V4     	H1V1H2V3H4V4     	H1V1V2H3V3H4     	H1V1V2H3V3V4     	H1V1V2H3H4V4     	H1V1V2V3H4V4     	H1V1H3V3H4V4     	H1H2V2H3V3H4     	H1H2V2H3V3V4     	H1H2V2H3H4V4     	H1H2V2V3H4V4     	H1H2H3V3H4V4     	H1V2H3V3H4V4     	V1H2V2H3V3H4     	V1H2V2H3V3V4     	V1H2V2H3H4V4     	V1H2V2V3H4V4     	V1H2H3V3H4V4     	V1V2H3V3H4V4     	H2V2H3V3H4V4     	
zxzx	11.0	        	12.0	         	208.0	         	196.0	         	17.0	          	8.0		          	230.0	         	190.0	         	233.0	        	240.0	        	16.0	        	18.0	          	196.0	         	206.0	          	20.0	          	19.0          	147606635.0      	130206230.0      	123894296.0      	112775576.0      	114139534.0      	125267839.0      	133640454.0      	99616159.0       	285727.0         	261099.0         	4762420.0        	4171333.0        	229619.0         	8022210.0        	219552.0         	353194.0         	260959.0         	195527.0         	231751.0         	174487.0         	188300.0         	204993.0         	171865.0         	187922.0         	2019799.0        	2094669.0        	2094927.0        	2066145.0        	4138675.0        	2420944.0        	232147.0         	171838.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zxxz	204.0	        	12.0	         	213.0	         	17.0	         	186.0	          	12.0	          	206.0	         	13.0	         	27.0	        	266.0	        	28.0	        	225.0	          	24.0	         	248.0	          	22.0	          	217.0          	145710130.0      	129190134.0      	123208671.0      	111833744.0      	120808410.0      	113244070.0      	149325225.0      	83032668.0       	283779.0         	256797.0         	4799050.0        	4158108.0        	4198417.0        	3910042.0        	251521.0         	307752.0         	287640.0         	160484.0         	257106.0         	143351.0         	198353.0         	185926.0         	180758.0         	168746.0         	4431620.0        	198067.0         	4551932.0        	172248.0         	269095.0         	2475683.0        	254402.0         	2589734.0        	0.0              	1.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zxxx	110.0	        	121.0	         	112.0	         	126.0	         	137.0	          	118.0	          	112.0	         	104.0	         	139.0	        	131.0	        	137.0	        	100.0	          	106.0	         	112.0	          	132.0	          	100.0          	147132696.0      	130557895.0      	123501429.0      	112338819.0      	121212557.0      	113583652.0      	131326870.0      	98310163.0       	286781.0         	261009.0         	4854123.0        	4210929.0        	4245700.0        	3959998.0        	254519.0         	311588.0         	255264.0         	191285.0         	227461.0         	172245.0         	199422.0         	185726.0         	182025.0         	171089.0         	1960921.0        	2027672.0        	2053037.0        	2036256.0        	2055290.0        	1225704.0        	2128117.0        	1272431.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zxzy	8.0		        	12.0	         	237.0	         	128.0	         	14.0	          	13.0	          	196.0	         	236.0	         	241.0	        	216.0	        	19.0	        	11.0	          	162.0	         	259.0	          	17.0	          	12.0          	147980539.0      	131122040.0      	123874032.0      	112950719.0      	113916749.0      	125324481.0      	125457302.0      	77746757.0       	287734.0         	262730.0         	4801963.0        	4210117.0        	229147.0         	8078401.0        	221103.0         	354486.0         	244950.0         	152017.0         	219148.0         	136335.0         	188399.0         	205977.0         	172501.0         	189096.0         	2534847.0        	1218427.0        	2172177.0        	1508663.0        	3001549.0        	2438150.0        	215878.0         	135699.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zxyz	192.0	        	11.0	         	211.0	         	18.0	         	187.0	          	16.0	          	200.0	         	16.0	         	18.0	        	247.0	        	40.0	        	219.0	          	25.0	         	220.0	          	18.0	          	215.0          	148006355.0      	130561558.0      	123600778.0      	112547580.0      	122616333.0      	117987433.0      	151222898.0      	85989023.0       	286916.0         	260578.0         	4723943.0        	4157647.0        	4048842.0        	4208222.0        	254603.0         	321313.0         	294910.0         	167979.0         	261861.0         	150415.0         	201715.0         	192716.0         	184913.0         	177339.0         	4596204.0        	209260.0         	4667911.0        	175154.0         	280399.0         	2694880.0        	269422.0         	2638274.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zxyy	138.0	        	107.0	         	146.0	         	102.0	         	127.0	          	107.0	          	133.0	         	105.0	         	118.0	        	136.0	        	104.0	        	138.0	          	122.0	         	116.0	          	127.0	          	107.0          	146345088.0      	129284081.0      	122948400.0      	111759889.0      	121596698.0      	117138520.0      	124131955.0      	77478439.0       	282487.0         	257509.0         	4736970.0        	4131414.0        	4012934.0        	4208795.0        	250485.0         	319426.0         	239123.0         	150382.0         	214005.0         	134568.0         	198697.0         	191063.0         	181294.0         	174957.0         	2499299.0        	1219494.0        	2139085.0        	1507104.0        	1612147.0        	1304413.0        	1561019.0        	1269267.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zxxy	134.0	        	105.0	         	150.0	         	106.0	         	137.0	          	119.0	          	122.0	         	124.0	         	126.0	        	136.0	        	102.0	        	132.0	          	107.0	         	114.0	          	122.0	          	110.0          	144912053.0      	128311552.0      	122577756.0      	111199054.0      	120176045.0      	112668989.0      	122327072.0      	75958860.0       	281575.0         	253868.0         	4777763.0        	4129454.0        	4175336.0        	3886441.0        	248181.0         	305846.0         	233558.0         	145757.0         	208604.0         	131110.0         	195987.0         	182929.0         	179836.0         	167294.0         	2413167.0        	1193232.0        	2082222.0        	1488321.0        	1489876.0        	1195133.0        	1544856.0        	1241072.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zxyx	152.0	        	132.0	         	149.0	         	143.0	         	131.0	          	145.0	          	120.0	         	145.0	         	162.0	        	143.0	        	183.0	        	152.0	          	162.0	         	162.0	          	153.0	          	173.0          	147161287.0      	130261578.0      	123014633.0      	111994434.0      	121676584.0      	117221814.0      	131661424.0      	98131727.0       	286741.0         	259981.0         	4809873.0        	4182965.0        	4057553.0        	4260669.0        	252928.0         	323300.0         	255089.0         	191716.0         	228902.0         	171342.0         	199163.0         	190459.0         	181869.0         	174747.0         	1970760.0        	2035445.0        	2060858.0        	2038880.0        	2184186.0        	1297788.0        	2116872.0        	1258466.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xzzz	16.0	        	340.0	         	27.0	         	16.0	         	16.0	          	12.0	          	378.0	         	4.0		         	16.0	        	463.0	        	20.0	        	18.0	          	24.0	         	12.0	          	419.0	          	6.0          	149318652.0      	133148326.0      	135841398.0      	100475768.0      	113440767.0      	124712821.0      	150321819.0      	85623684.0       	5390089.0        	205530.0         	4509894.0        	183812.0         	238919.0         	3927715.0        	215760.0         	4174543.0        	295905.0         	170209.0         	266442.0         	152411.0         	204902.0         	224930.0         	152072.0         	167217.0         	279172.0         	174158.0         	8714045.0        	205617.0         	289689.0         	5122937.0        	250471.0         	153833.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xzzx	216.0	        	202.0	         	24.0	         	20.0	         	14.0	          	14.0	          	212.0	         	214.0	         	265.0	        	243.0	        	21.0	        	14.0	          	13.0	         	12.0	          	264.0	          	272.0          	148571922.0      	132448997.0      	136045083.0      	99926935.0       	113567839.0      	124409461.0      	133129547.0      	98920209.0       	5358149.0        	203243.0         	4480554.0        	181198.0         	239342.0         	3897567.0        	214460.0         	4138483.0        	260594.0         	195310.0         	234825.0         	175393.0         	205209.0         	224676.0         	151725.0         	166327.0         	249368.0         	198986.0         	3753611.0        	3826349.0        	4121884.0        	2408418.0        	229327.0         	170446.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
