#measurement startet at: 06_09_19__15:42 Integration Time in ps: 900000000000000 Coincidence Window im ps: 4000
	H1H2H3H4         	H1H2H3V4         	H1H2V3H4         	H1H2V3V4         	H1V2H3H4         	H1V2H3V4         	H1V2V3H4         	H1V2V3V4         	V1H2H3H4         	V1H2H3V4         	V1H2V3H4         	V1H2V3V4         	V1V2H3H4         	V1V2H3V4         	V1V2V3H4         	V1V2V3V4         	H1               	V1               	H2               	V2               	H3               	V3               	H4               	V4               	H1H2             	H1V2             	V1H2             	V1V2             	H1H3             	H1V3             	V1H3             	V1V3             	H1H4             	H1V4             	V1H4             	V1V4             	H2H3             	H2V3             	V2H3             	V2V3             	H2H4             	H2V4             	V2H4             	V2V4             	H3H4             	H3V4             	V3H4             	V3V4             	H1V1H2V2H3V3     	H1V1H2V2H3H4     	H1V1H2V2H3V4     	H1V1H2V2V3H4     	H1V1H2V2V3V4     	H1V1H2V2H4V4     	H1V1H2H3V3H4     	H1V1H2H3V3V4     	H1V1H2H3H4V4     	H1V1H2V3H4V4     	H1V1V2H3V3H4     	H1V1V2H3V3V4     	H1V1V2H3H4V4     	H1V1V2V3H4V4     	H1V1H3V3H4V4     	H1H2V2H3V3H4     	H1H2V2H3V3V4     	H1H2V2H3H4V4     	H1H2V2V3H4V4     	H1H2H3V3H4V4     	H1V2H3V3H4V4     	V1H2V2H3V3H4     	V1H2V2H3V3V4     	V1H2V2H3H4V4     	V1H2V2V3H4V4     	V1H2H3V3H4V4     	V1V2H3V3H4V4     	H2V2H3V3H4V4     	
xzxz	25.0	        	213.0	         	13.0	         	213.0	         	221.0	          	6.0		          	227.0	         	8.0		         	11.0	        	244.0	        	21.0	        	243.0	          	266.0	         	11.0	          	254.0	          	8.0          	146847445.0      	130744708.0      	135911027.0      	98303172.0       	119991811.0      	112566447.0      	148338971.0      	83091428.0       	5370389.0        	198853.0         	4480612.0        	177488.0         	1995185.0        	2065717.0        	2276396.0        	1995196.0        	287533.0         	161281.0         	257835.0         	146272.0         	217778.0         	203034.0         	157364.0         	147469.0         	277273.0         	170217.0         	8468841.0        	196039.0         	267015.0         	2477534.0        	250479.0         	2599176.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xzxx	136.0	        	143.0	         	119.0	         	136.0	         	137.0	          	100.0	          	140.0	         	136.0	         	156.0	        	158.0	        	106.0	        	116.0	          	143.0	         	159.0	          	153.0	          	168.0          	146954114.0      	130988667.0      	136256526.0      	97968729.0       	119865081.0      	112387676.0      	129122930.0      	97109392.0       	5416286.0        	198758.0         	4525770.0        	177766.0         	2007624.0        	2079449.0        	2297550.0        	2014291.0        	250155.0         	189505.0         	224940.0         	170228.0         	217396.0         	202488.0         	157152.0         	146970.0         	243390.0         	197341.0         	3602413.0        	3704191.0        	2002994.0        	1202459.0        	2078706.0        	1251532.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xzzy	200.0	        	214.0	         	27.0	         	8.0		         	20.0	          	13.0	          	255.0	         	230.0	         	152.0	        	286.0	        	27.0	        	18.0	          	16.0	         	12.0	          	195.0	          	237.0          	148444434.0      	132412273.0      	136038691.0      	99379618.0       	112726182.0      	124339863.0      	123882021.0      	76698305.0       	5416620.0        	202935.0         	4527628.0        	182072.0         	236850.0         	3927967.0        	214069.0         	4176096.0        	242157.0         	150538.0         	218216.0         	136310.0         	203900.0         	223738.0         	150159.0         	164541.0         	227015.0         	158121.0         	4288796.0        	2475375.0        	2955940.0        	2400415.0        	211022.0         	132831.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xzyz	20.0	        	200.0	         	18.0	         	207.0	         	206.0	          	6.0		          	222.0	         	9.0		         	12.0	        	230.0	        	16.0	        	166.0	          	282.0	         	5.0		          	227.0	          	8.0          	148543621.0      	132492970.0      	135389053.0      	99774992.0       	121583363.0      	117174276.0      	149826572.0      	85243741.0       	5349644.0        	202526.0         	4474466.0        	182749.0         	2214031.0        	1930216.0        	1944759.0        	2429937.0        	293374.0         	167638.0         	264014.0         	151506.0         	218716.0         	210178.0         	162433.0         	155192.0         	276780.0         	173758.0         	8653835.0        	202398.0         	275238.0         	2662921.0        	264496.0         	2613442.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xzyy	112.0	        	89.0	         	102.0	         	98.0	         	112.0	          	88.0	          	126.0	         	69.0	         	85.0	        	148.0	        	100.0	        	108.0	          	132.0	         	110.0	          	114.0	          	125.0          	147466813.0      	131399808.0      	135390040.0      	99023430.0       	121285026.0      	116692466.0      	124014728.0      	77080508.0       	5334265.0        	200116.0         	4448762.0        	179285.0         	2199384.0        	1919601.0        	1930665.0        	2411245.0        	241237.0         	150788.0         	216617.0         	135578.0         	218569.0         	208612.0         	160008.0         	154141.0         	226320.0         	158459.0         	4311466.0        	2477360.0        	1607709.0        	1301202.0        	1560918.0        	1270550.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xzxy	125.0	        	133.0	         	121.0	         	140.0	         	118.0	          	155.0	          	121.0	         	155.0	         	139.0	        	142.0	        	124.0	        	140.0	          	195.0	         	148.0	          	111.0	          	156.0          	145900635.0      	129990193.0      	135407840.0      	97305623.0       	119357848.0      	111978574.0      	121680679.0      	75620241.0       	5341828.0        	195627.0         	4460283.0        	175608.0         	1980333.0        	2051374.0        	2272685.0        	1986596.0        	234747.0         	146431.0         	210203.0         	131794.0         	215056.0         	200278.0         	154917.0         	146242.0         	221478.0         	156845.0         	4144576.0        	2446462.0        	1480036.0        	1192793.0        	1539058.0        	1244872.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xzyx	136.0	        	120.0	         	128.0	         	129.0	         	114.0	          	129.0	          	117.0	         	129.0	         	117.0	        	136.0	        	101.0	        	156.0	          	130.0	         	128.0	          	126.0	          	149.0          	146738063.0      	130808099.0      	135611748.0      	97540813.0       	120231383.0      	115818922.0      	128659900.0      	96596300.0       	5394731.0        	197290.0         	4502568.0        	176864.0         	2210525.0        	1940188.0        	1943260.0        	2447413.0        	248884.0         	188114.0         	223861.0         	169136.0         	217195.0         	208171.0         	156595.0         	150175.0         	241038.0         	193945.0         	3589029.0        	3675897.0        	2106672.0        	1263683.0        	2038515.0        	1223364.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xxzz	16.0	        	251.0	         	215.0	         	8.0		         	20.0	          	236.0	          	212.0	         	8.0		         	20.0	        	265.0	        	226.0	        	14.0	          	13.0	         	218.0	          	223.0	          	9.0          	147812309.0      	131883015.0      	122116844.0      	111349807.0      	112302954.0      	123858006.0      	148551502.0      	83554342.0       	2920873.0        	2549744.0        	2436305.0        	2142666.0        	234950.0         	3904916.0        	212501.0         	4153975.0        	289049.0         	164455.0         	259988.0         	148223.0         	182484.0         	199908.0         	167659.0         	183598.0         	4460974.0        	199134.0         	4587211.0        	169741.0         	281250.0         	5021593.0        	245637.0         	149614.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xxzx	136.0	        	129.0	         	117.0	         	128.0	         	141.0	          	119.0	          	128.0	         	91.0	         	116.0	        	161.0	        	125.0	        	108.0	          	103.0	         	156.0	          	94.0	          	123.0          	147605344.0      	131655242.0      	122039446.0      	111056970.0      	112397905.0      	123876579.0      	132164516.0      	97952174.0       	2873343.0        	2518155.0        	2399810.0        	2114227.0        	235005.0         	3866309.0        	211149.0         	4117069.0        	256166.0         	191778.0         	231133.0         	172827.0         	182457.0         	200914.0         	166858.0         	183516.0         	1983197.0        	2039734.0        	2056444.0        	2015746.0        	4063555.0        	2369028.0        	225868.0         	167883.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xxxz	121.0	        	104.0	         	126.0	         	152.0	         	133.0	          	166.0	          	104.0	         	119.0	         	145.0	        	152.0	        	97.0	        	128.0	          	90.0	         	110.0	          	109.0	          	132.0          	146558150.0      	130608258.0      	121720689.0      	110614678.0      	119793973.0      	112318583.0      	148259775.0      	83798998.0       	2872581.0        	2513715.0        	2392840.0        	2102156.0        	1971615.0        	2040909.0        	2252053.0        	1973964.0        	285761.0         	163348.0         	257635.0         	146470.0         	194411.0         	181221.0         	177149.0         	166469.0         	4470556.0        	200046.0         	4559846.0        	167614.0         	267087.0         	2497810.0        	250891.0         	2617515.0        	0.0              	0.0              	0.0              	0.0              	0.0              	1.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xxxx	38.0	        	181.0	         	238.0	         	33.0	         	248.0	          	32.0	          	32.0	         	190.0	         	213.0	        	29.0	        	27.0	        	195.0	          	24.0	         	224.0	          	256.0	          	27.0          	144962206.0      	129207496.0      	121067672.0      	109653895.0      	118676382.0      	111341486.0      	127427043.0      	95823925.0       	2906225.0        	2504687.0        	2417716.0        	2098040.0        	1971506.0        	2041724.0        	2264777.0        	1978738.0        	242507.0         	183871.0         	219372.0         	166007.0         	190255.0         	178599.0         	173707.0         	163170.0         	1897072.0        	1967136.0        	1990601.0        	1973767.0        	1970771.0        	1182691.0        	2052888.0        	1234945.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	1.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xxzy	184.0	        	104.0	         	138.0	         	72.0	         	169.0	          	90.0	          	168.0	         	85.0	         	132.0	        	135.0	        	100.0	        	154.0	          	80.0	         	152.0	          	92.0	          	165.0          	146505724.0      	130630060.0      	121370051.0      	110233835.0      	110734503.0      	123228647.0      	121652214.0      	75490380.0       	2925383.0        	2530672.0        	2433191.0        	2120240.0        	228926.0         	3887607.0        	208365.0         	4141589.0        	233636.0         	146172.0         	211519.0         	132071.0         	178753.0         	197191.0         	163147.0         	181373.0         	2403262.0        	1177197.0        	2074877.0        	1466738.0        	2861587.0        	2323111.0        	205712.0         	129359.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xxyz	158.0	        	76.0	         	83.0	         	88.0	         	101.0	          	64.0	          	99.0	         	76.0	         	174.0	        	88.0	        	126.0	        	72.0	          	111.0	         	69.0	          	169.0	          	76.0          	147076190.0      	131253992.0      	121699161.0      	110850487.0      	120625054.0      	116109987.0      	148026409.0      	83717176.0       	2895462.0        	2534799.0        	2415583.0        	2119171.0        	2199020.0        	1911277.0        	1932054.0        	2412260.0        	287432.0         	163056.0         	259285.0         	146736.0         	195285.0         	187704.0         	177890.0         	172118.0         	4464000.0        	200245.0         	4568547.0        	168766.0         	268802.0         	2627681.0        	258397.0         	2574535.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xxyy	40.0	        	112.0	         	186.0	         	20.0	         	150.0	          	16.0	          	33.0	         	96.0	         	157.0	        	13.0	        	32.0	        	121.0	          	25.0	         	96.0	          	164.0	          	23.0          	146795049.0      	130866761.0      	121467683.0      	110527589.0      	120558003.0      	116079690.0      	123292028.0      	76496022.0       	2857018.0        	2506573.0        	2380803.0        	2098747.0        	2180878.0        	1898695.0        	1917309.0        	2395071.0        	238999.0         	148722.0         	213836.0         	134751.0         	194968.0         	187324.0         	178292.0         	172487.0         	2497020.0        	1190051.0        	2128922.0        	1465436.0        	1590326.0        	1284185.0        	1549190.0        	1261876.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xxxy	103.0	        	68.0	         	68.0	         	68.0	         	69.0	          	71.0	          	95.0	         	51.0	         	88.0	        	82.0	        	101.0	        	56.0	          	94.0	         	56.0	          	73.0	          	58.0          	145384819.0      	129511105.0      	120728668.0      	109582047.0      	118774525.0      	111424334.0      	121642294.0      	75731951.0       	2865397.0        	2491107.0        	2382088.0        	2084835.0        	1960575.0        	2026230.0        	2243584.0        	1964013.0        	233350.0         	146063.0         	209639.0         	131367.0         	190814.0         	177958.0         	174428.0         	163017.0         	2430672.0        	1181431.0        	2086806.0        	1466141.0        	1484411.0        	1200499.0        	1545212.0        	1251984.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
xxyx	87.0	        	172.0	         	115.0	         	64.0	         	130.0	          	65.0	          	76.0	         	95.0	         	179.0	        	52.0	        	74.0	        	84.0	          	74.0	         	84.0	          	161.0	          	54.0          	144571429.0      	128782994.0      	120457637.0      	109087824.0      	118885446.0      	114654388.0      	126677688.0      	95272986.0       	2897296.0        	2493262.0        	2410037.0        	2086233.0        	2173016.0        	1908790.0        	1913687.0        	2409011.0        	239581.0         	182650.0         	216559.0         	164450.0         	190701.0         	182871.0         	172556.0         	166940.0         	1877623.0        	1945526.0        	1969478.0        	1955472.0        	2063013.0        	1240911.0        	1999080.0        	1204887.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zyzz	12.0	        	16.0	         	399.0	         	12.0	         	6.0		          	12.0	          	460.0	         	15.0	         	28.0	        	384.0	        	27.0	        	8.0		          	17.0	         	272.0	          	25.0	          	7.0          	144902223.0      	127608306.0      	119342404.0      	109690135.0      	110607466.0      	122631527.0      	146521301.0      	82046613.0       	270418.0         	253594.0         	4443100.0        	4311653.0        	218832.0         	7896059.0        	209951.0         	342930.0         	279833.0         	157209.0         	249512.0         	140247.0         	175600.0         	194306.0         	162196.0         	179329.0         	4542543.0        	218130.0         	4249706.0        	139622.0         	272867.0         	4910923.0        	240729.0         	145264.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zyzx	15.0	        	6.0		         	167.0	         	205.0	         	16.0	          	7.0		          	170.0	         	146.0	         	214.0	        	112.0	        	16.0	        	12.0	          	172.0	         	121.0	          	12.0	          	14.0          	145195811.0      	127908517.0      	119697900.0      	109902509.0      	111276348.0      	122813505.0      	130663734.0      	96734804.0       	271873.0         	254232.0         	4408412.0        	4277565.0        	220927.0         	7846674.0        	210334.0         	342215.0         	249806.0         	186467.0         	223093.0         	166155.0         	177509.0         	193556.0         	163287.0         	180167.0         	1852726.0        	2239491.0        	2112762.0        	1747549.0        	4019161.0        	2351848.0        	222104.0         	164565.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zyxz	208.0	        	12.0	         	199.0	         	21.0	         	203.0	          	12.0	          	202.0	         	13.0	         	21.0	        	209.0	        	23.0	        	124.0	          	26.0	         	101.0	          	23.0	          	124.0          	144777302.0      	126802280.0      	119510160.0      	109532242.0      	119162016.0      	111651244.0      	147292321.0      	83331175.0       	270024.0         	252663.0         	4364502.0        	4224827.0        	4068932.0        	3783245.0        	243010.0         	297487.0         	281773.0         	159818.0         	248862.0         	141083.0         	189233.0         	176679.0         	175572.0         	163386.0         	4609122.0        	220727.0         	4301337.0        	141346.0         	263920.0         	2476849.0        	249297.0         	2593552.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zyxx	86.0	        	100.0	         	73.0	         	111.0	         	84.0	          	88.0	          	108.0	         	75.0	         	100.0	        	61.0	        	116.0	        	56.0	          	108.0	         	52.0	          	73.0	          	79.0          	142943638.0      	125609680.0      	118553715.0      	108561877.0      	117897751.0      	110332448.0      	127452034.0      	95649054.0       	264758.0         	247419.0         	4355708.0        	4218857.0        	4056387.0        	3764985.0        	240135.0         	292594.0         	238813.0         	181214.0         	212895.0         	160823.0         	186646.0         	173050.0         	171648.0         	159705.0         	1805239.0        	2208501.0        	2046322.0        	1714459.0        	1973640.0        	1187387.0        	2052107.0        	1238582.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zyzy	8.0		        	8.0		         	292.0	         	115.0	         	8.0		          	3.0		          	177.0	         	103.0	         	140.0	        	89.0	        	8.0		        	7.0		          	230.0	         	116.0	          	12.0	          	10.0          	142425425.0      	125311831.0      	118461351.0      	108497841.0      	109101975.0      	121657238.0      	119116452.0      	73916112.0       	264574.0         	248276.0         	4396797.0        	4257112.0        	212211.0         	7792514.0        	203808.0         	336908.0         	224043.0         	139088.0         	198216.0         	124526.0         	172193.0         	191208.0         	158048.0         	176419.0         	2230673.0        	1367685.0        	2077876.0        	1216240.0        	2776821.0        	2262066.0        	197924.0         	124405.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zyyz	209.0	        	16.0	         	202.0	         	19.0	         	177.0	          	18.0	          	192.0	         	8.0		         	24.0	        	113.0	        	26.0	        	118.0	          	20.0	         	118.0	          	26.0	          	120.0          	144179807.0      	126687662.0      	118777140.0      	109121890.0      	119068048.0      	114458784.0      	145548319.0      	81238007.0       	268069.0         	251961.0         	4417331.0        	4288416.0        	3964991.0        	4128298.0        	241330.0         	309562.0         	275909.0         	155592.0         	246463.0         	138789.0         	187696.0         	179628.0         	174484.0         	166199.0         	4509864.0        	214129.0         	4215468.0        	137755.0         	259839.0         	2556293.0        	248871.0         	2494648.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zyyy	112.0	        	60.0	         	90.0	         	69.0	         	74.0	          	52.0	          	121.0	         	48.0	         	77.0	        	68.0	        	100.0	        	52.0	          	100.0	         	56.0	          	55.0	          	72.0          	144970251.0      	127203019.0      	118993337.0      	109519359.0      	119532575.0      	114852787.0      	121553490.0      	75147178.0       	269102.0         	253766.0         	4404832.0        	4282416.0        	3959381.0        	4122967.0        	241959.0         	309400.0         	232759.0         	144661.0         	204965.0         	128343.0         	189435.0         	180410.0         	175781.0         	168399.0         	2326707.0        	1374028.0        	2189713.0        	1227305.0        	1578141.0        	1265574.0        	1532178.0        	1235451.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zyxy	94.0	        	68.0	         	109.0	         	51.0	         	94.0	          	66.0	          	70.0	         	69.0	         	85.0	        	49.0	        	80.0	        	84.0	          	58.0	         	61.0	          	97.0	          	60.0          	144707680.0      	126545590.0      	119016057.0      	109094920.0      	118738390.0      	111291411.0      	121926126.0      	75462025.0       	268744.0         	251275.0         	4356008.0        	4214902.0        	4069361.0        	3788502.0        	241411.0         	295768.0         	232128.0         	144437.0         	205345.0         	127714.0         	188317.0         	175622.0         	173567.0         	162227.0         	2333154.0        	1378447.0        	2192868.0        	1225841.0        	1487846.0        	1204965.0        	1547373.0        	1254504.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zyyx	138.0	        	139.0	         	128.0	         	157.0	         	146.0	          	135.0	          	153.0	         	118.0	         	149.0	        	118.0	        	157.0	        	98.0	          	151.0	         	102.0	          	131.0	          	108.0          	142955758.0      	125162038.0      	118341259.0      	108375987.0      	118581333.0      	113944055.0      	128205245.0      	95621526.0       	263698.0         	246802.0         	4326218.0        	4189966.0        	3885287.0        	4043353.0        	236428.0         	304449.0         	241212.0         	181205.0         	214258.0         	159656.0         	186471.0         	178502.0         	172095.0         	165111.0         	1822746.0        	2212452.0        	2070403.0        	1720767.0        	2106187.0        	1259479.0        	2051488.0        	1227650.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
yzzz	16.0	        	292.0	         	27.0	         	12.0	         	20.0	          	8.0		          	556.0	         	6.0		         	16.0	        	574.0	        	22.0	        	10.0	          	16.0	         	8.0		          	344.0	          	4.0          	144842594.0      	118367775.0      	133166581.0      	94915246.0       	108621378.0      	121034145.0      	143926047.0      	79378258.0       	4229005.0        	189382.0         	4952140.0        	158563.0         	212054.0         	4922939.0        	195177.0         	2880025.0        	275210.0         	152511.0         	226888.0         	125872.0         	192479.0         	213731.0         	138447.0         	153332.0         	266360.0         	159579.0         	8063122.0        	181899.0         	260816.0         	4754859.0        	231229.0         	138608.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
yzzx	258.0	        	177.0	         	21.0	         	12.0	         	14.0	          	10.0	          	285.0	         	281.0	         	205.0	        	223.0	        	17.0	        	12.0	          	13.0	         	10.0	          	172.0	          	222.0          	146332153.0      	119686309.0      	132993993.0      	95996165.0       	109365913.0      	121409507.0      	127243910.0      	94721700.0       	4257813.0        	191442.0         	4970032.0        	160229.0         	215242.0         	4951783.0        	197475.0         	2902121.0        	245487.0         	183020.0         	202915.0         	152511.0         	193111.0         	214027.0         	140421.0         	155300.0         	233835.0         	186480.0         	3562779.0        	3610275.0        	3874692.0        	2286840.0        	214444.0         	158726.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
yzxz	16.0	        	180.0	         	12.0	         	202.0	         	276.0	          	8.0		          	249.0	         	5.0		         	24.0	        	186.0	        	20.0	        	195.0	          	258.0	         	10.0	          	208.0	          	3.0          	146966292.0      	120324067.0      	132424296.0      	96945799.0       	118121370.0      	110530285.0      	145441737.0      	82402305.0       	4234192.0        	193381.0         	4926804.0        	162323.0         	2400869.0        	2643475.0        	1733030.0        	1310465.0        	281679.0         	160509.0         	232712.0         	132944.0         	207070.0         	193251.0         	152794.0         	143233.0         	262353.0         	164345.0         	8384695.0        	190261.0         	258154.0         	2446558.0        	243279.0         	2561038.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
yzxx	149.0	        	103.0	         	150.0	         	85.0	         	149.0	          	151.0	          	155.0	         	158.0	         	152.0	        	152.0	        	112.0	        	123.0	          	130.0	         	121.0	          	108.0	          	106.0          	146323072.0      	119556888.0      	132468580.0      	96353236.0       	118057096.0      	110455440.0      	128846304.0      	95425657.0       	4186268.0        	191278.0         	4867395.0        	160498.0         	2381634.0        	2620290.0        	1717911.0        	1297904.0        	247964.0         	185262.0         	204672.0         	152977.0         	208548.0         	194489.0         	151572.0         	141456.0         	235270.0         	186893.0         	3617283.0        	3648091.0        	2012986.0        	1196867.0        	2090164.0        	1245888.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
